Country,Indices
Argentina,.MERV
Austria,.ATX
Belgium,.BFX
Brazil,.BVSP
Canada,.GSPTSE
Switzerland,.SSMI
Chile,.SPIPSA
Czech Republic,.PX
Germany,.GDAXI
Denmark,.OMXC20
Spain,.IBEX
Finland,.OMXHPI
France,.FCHI
United Kingdom,.FTSE
United States,.NDX
Japan,.TOPX
`
